Rank,Song,Artist,Year,Lyrics_List
25,we got the beat,the gogos,1982,"see,people,walking,street,fall,line,watching,feet,dont,know,want,go,theyre,walking,timethey,got,beat,got,beat,got,beat,yeah,got,beatall,kids,getting,school,cant,wait,hang,cool,hang,around,til,quarter,twelve,thats,fall,linethey,got,beat,got,beat,kids,got,beat,yeah,kids,got,beatgogo,music,really,makes,us,dance,pony,puts,us,trance,watusi,give,us,chance,thats,fall,linecause,got,beat,got,beat,got,beat,yeah,got,itwe,got,beat,got,beat,got,beat,everybody,get,feet,got,beat,know,dance,beat,got,beat,jumpin,get,got,beat,round,round,roundwe,got,beat,got,beat,got,beat,got,beat,got,beat,got,beat,got,beat,got,beat,got,beat,got,beat,got,beat,got,beat,got,beat,got,beat"
26,the other woman,ray parker jr,1982,"good,song,love,affair,go,hand,hand,together,think,youve,gotten,one,holds,forever,ive,tried,hard,forget,forget,love,ever,lovin,ive,convinced,hear,old,song,used,play,old,song,radio,every,day,whenever,hear,reminisce,lovin,old,song,still,play,old,song,keeps,longin,good,old,days,lyric,melody,melody,remindin,love,used,shouldnt,tellin,know,im,place,place,love,another,woman,still,see,face,baby,maybe,sign,us,get,back,try,get,back,together,cant,imagine,memories,memories,every,time,hear,old,song,used,play,old,song,radio,every,day,whenever,hear,reminisce,lovin,old,song,still,play,old,song,keeps,longin,good,old,days,lyric,melody,melody,remindin,love,used,old,song,think,every,time,hear,song,recall,good,times,hear,song,song,song,makin,realize,want,back,girl,every,time,hear,song,keep,playin,old,song,keep,playin,old,song,ooh,hear,song,keep,playin,old,song,reminds,love,strong,mmm,mr,dj,would,please,play,keep,playin,old,song,old,songaca"
27,turn your love around,george benson,1982,"youve,got,love,youve,got,power,dont,understand,girl,youve,charging,hour,loveim,tryin,show,much,love,still,believin,romance,youre,taking,way,many,chances,lovei,remember,used,talk,town,get,lonelyturn,love,around,dont,turn,show,turn,love,aroundwithout,woman,make,need,girl,stay,oh,dont,let,lady,take,awaywhen,woman,needs,taste,yesterday,stays,home,get,lonelyturn,love,around,dont,turn,show,turn,love,aroundoh,girl,know,im,alone,show,youre,still,love,gonna,make,gonna,take,back,belongturn,love,around,dont,turn,show,turn,love,aroundturn,love,around,time,girl,became,woman,dont,turn,every,woman,needs,man,show,love,girl,love,woman,turn,love,aroundturn,love,around,time,girl,became,woman,dont,turn,every,woman,needs,man,show,love,girl,love,woman,turn,love,aroundturn,love,around,time,girl,became,woman,dont,turn,every,woman,needs,man,show"
28,sweet dreams,air supply,1982,"time,need,friend,need,someone,near,im,looking,forward,night,ive,spend,thinking,youre,many,times,think,things,id,like,always,denied,right,live,life,way,want,want,share,youclose,eyes,want,ride,skies,sweet,dreams,close,eyes,want,see,tonight,sweet,dreamsi,think,kiss,days,roll,ill,write,words,love,cant,say,letter,wait,till,get,home,theres,much,time,tell,half,things,im,glad,fell,love,id,couldclose,eyes,want,ride,skies,sweet,dreams,close,eyes,want,see,tonight,sweet,dreams,close,eyes,want,ride,skies,sweet,dreams,close,eyes,want,see,tonight,sweet,dreamssleep,like,child,resting,deep,dont,know,give,keep,moments,aloneclose,eyes,want,ride,skies,sweet,dreams,close,eyes,want,see,tonight,sweet,dreams,close,eyes,want,ride,skies,sweet,dreams,close,eyes,want,see,tonight,sweet,dreamsclose,eyes,want,ride,skies,sweet,dreams,close,eyes,want,see,tonight,sweet,dreams,close,eyes,want,ride,skies,sweet,dreams,close,eyes,want,see,tonight,sweet,dreams"
29,only the lonely,the motels,1982,"walked,loneliest,mile,smile,without,style,kiss,together,wrong,intentionwe,lie,others,drinks,live,without,thinking,anyone,would,without,youits,like,told,lonely,playso,hold,go,hold,nothin,know,feel,lonely,way,hereyou,mention,time,together,long,ago,well,dont,remember,know,makes,feel,good,nowits,like,told,lonely,play,lonely,lonely,playonly,lonely,lonely,play,like,told,lonely,play,lonely,lonely,play"
30,who can it be now,men at work,1982,"knocking,door,go,way,dont,come,round,cant,see,late,night,im,tired,im,feeling,rightall,wish,alone,stay,away,dont,invade,home,best,hang,outside,dont,come,ill,run,hidewho,nowwho,knocking,door,make,sound,tiptoe,across,floor,hears,hell,knock,day,ill,trapped,ill,stayive,done,harm,keep,theres,nothing,wrong,state,mental,health,like,childhood,friend,come,feelings,againwho,nowis,man,come,take,away,follow,future,see,fantasyoh,nowoh,oh,yeah,oh,oh,yeah,yeah,yeah"
31,hold me,fleetwood mac,1982,"understand,baby,dont,hand,line,although,doesnt,matter,got,plenty,timetheres,nobody,future,baby,let,hand,love,oh,theres,step,dance,slip,hand,inside,glovehold,hold,hold,hold,hold,hold,mei,dont,want,damage,gonna,manage,hold,percentage,im,fool,payin,duesim,around,corner,got,minute,spare,ill,waitin,ya,ever,want,therehold,hold,hold,hold,hold,hold,hold,hold,hold,hold,hold,hold,mehold,hold,hold,hold,hold,hold,hold,hold,hold,hold,hold,hold,hold,hold,hold,hold,hold,hold,hold,hold,hold,hold,hold,hold"
32,eye in the sky,the alan parsons project,1982,"dont,think,sorrys,easily,said,dont,try,turnin,tables,instead,youve,taken,lots,chances,aint,gonna,give,anymoredont,ask,thats,goes,cause,part,knows,youre,thinkindont,say,words,youre,gonna,regret,dont,let,fire,rush,head,ive,heard,accusation,aint,gonna,take,morebelieve,sun,eyes,made,lies,worth,believingi,eye,sky,looking,read,mind,maker,rules,dealing,fools,cheat,blindand,dont,need,see,know,thati,read,mind,looking,read,mind,looking,youi,read,mind,looking,read,minddont,leave,false,illusion,behind,dont,cry,aint,changing,mind,find,another,fool,like,cause,aint,gonna,live,anymorebelieving,lies,signs,deceivingi,eye,sky,looking,read,mind,maker,rules,dealing,fools,cheat,blindand,dont,need,see,know,thati,read,mind,looking,read,mind,looking,youi,read,mind,looking,read,mindi,eye,sky,looking,read,mind,maker,rules,dealing,fools,cheat,blindand,dont,need,see,know,thati,read,mind,looking,read,mind,looking,youi,read,mind,looking,read,mind"
33,lets groove,earth wind  fire,1982,"refrain,let,groove,get,move,alright,alright,alright,let,groove,set,shoes,stand,alright,alright,gonna,tell,love,alright,let,know,girl,youre,looking,good,youre,sight,alright,move,glide,like,747,lose,sky,among,clouds,heavens,let,groove,light,fuse,alright,alright,alright,let,groove,set,shoes,stand,alright,let,tell,love,alright,alright,gotta,let,know,girl,youre,looking,good,youre,sight,youre,alright,tell,dj,play,favorite,tune,know,okay,found,happiness,let,groove,get,mind,move,alright,let,groove,set,shoes,stand,alright,find,peace,mind,floor,take,little,time,come,see,make,little,sign,ill,awhile,want,love,boogie,lets,groove,tonight,share,spice,life,baby,slice,right,gonna,groove,tonight"
34,open arms,journey,1982,"lying,beside,dark,feeling,heartbeat,mine,softly,whisper,youre,sincere,could,love,blind,sailed,together,drifted,apart,sideso,come,open,arms,nothing,hide,believe,say,open,arms,hoping,youll,see,love,means,open,armsliving,without,living,alone,empty,house,seems,cold,wanting,hold,wanting,near,much,wanted,homenow,youve,come,back,turned,night,day,need,stay"
35,leader of the band,dan fogelberg,1982,"child,alone,wild,cabinet,makers,son,hands,meant,different,work,heart,known,none,left,home,went,lone,solitary,way,gave,gift,know,never,repaya,quiet,man,music,denied,simpler,fate,tried,soldier,music,wouldnt,wait,earned,love,discipline,thundering,velvet,hand,gentle,means,sculpting,souls,took,years,understandthe,leader,band,tired,eyes,growing,old,blood,runs,instrument,song,soul,life,poor,attempt,imitate,man,im,living,legacy,leader,bandmy,brothers,lives,different,heard,another,call,one,went,chicago,st,paul,im,colorado,im,hotel,living,life,ive,chose,come,know,welli,thank,music,stories,road,thank,freedom,came,time,go,thank,kindness,times,got,tough,papa,dont,think,said,love,near,enoughthe,leader,band,tired,eyes,growing,old,blood,runs,instrument,song,soul,life,poor,attempt,imitate,man,im,living,legacy,leader,band,living,legacy,leader,band"
36,leather and lace,stevie nicks and don henley,1982,"love,fragile,heart,hollow,shatter,words,impossible,follow,youre,saying,im,fragile,try,search,something,cant,seei,life,stronger,know,carry,feeling,walked,house,wont,walking,door,still,carry,feeling,walked,house,wont,walking,doorlovers,forever,face,face,city,mountains,stay,stay,need,love,need,today,give,leather,take,laceyou,moonlight,sleepy,eyes,could,ever,love,man,like,right,walked,house,knew,id,never,want,leave,sometimes,im,strong,man,sometimes,cold,scared,sometimes,cry,time,saw,knew,light,nights,somehow,id,get,bylovers,forever,face,face,city,mountains,stay,stay,need,love,need,today,give,leather,take,lacelovers,forever,face,face,city,mountains,stay,stay,need,love,need,today,give,leather,take,lace,take,lace,take,lace"
37,even the nights are better,air supply,1982,"lonely,one,wondering,went,wrong,love,gone,left,lonelyi,confused,feeling,like,id,used,came,loneliness,left,mei,use,think,tied,heartache,heartbreak,ive,found,youeven,nights,better,together,even,nights,better,since,found,youeven,days,brighter,someone,loves,beside,even,nights,better,since,found,youyou,knew,cause,lonely,showed,ease,painand,mend,broken,heart,cause,youve,made,fire,start,see,feel,wayi,never,dreamed,thered,someone,hold,told,ive,found,youeven,nights,better,together,even,nights,better,since,found,youeven,days,brighter,someone,loves,beside,even,nights,better,since,found,youi,never,dreamed,thered,someone,hold,told,ive,found,youeven,nights,better,together,even,nights,better,since,found,youeven,days,brighter,someone,loves,beside,even,nights,better,since,found,youeven,nights,better,together,even,nights,better,since,found"
38,ive never been to me,charlene,1982,"hey,lady,lady,cursin,life,youre,discontented,mother,regimented,wife,ive,doubt,dream,things,never,wish,someone,talk,like,wanna,talk,ooh,ive,georgia,california,anywhere,could,run,took,hand,preacherman,made,love,sun,ran,places,friendly,faces,freeive,paradise,ive,never,meplease,lady,please,lady,dont,walk,away,cause,need,tell,im,alone,today,see,much,still,living,eyes,wont,share,part,weary,heart,lived,million,lies,oh,ive,nice,isle,greece,sipped,champagne,yacht,moved,like,harlow,monte,carlo,showed,em,ive,got,ive,undressed,kings,ive,seen,things,woman,aint,sposed,seeive,paradise,ive,never,mehey,know,paradise,lie,fantasy,create,people,places,wed,like,know,truth,little,baby,youre,holding,man,fought,morning,one,youre,going,make,love,tonight,thats,truth,thats,lovesometimes,ive,cryin,unborn,children,might,made,complete,took,sweet,life,never,knew,id,bitter,sweet,spent,life,exploring,subtle,whoring,cost,much,freehey,lady,ive,paradise,ive,never,meive,paradise,never,ive,georgia,california,anywhere,could,run,ive,paradise,never,ive,nice,isle,greece,sipped,champagne,yacht,ive,paradise,never,ive,cryin,unborn,children,fade"
39,65 love affair,paul davis,1982,"car,hop,bebop,sang,dowopdiddy,wopdiddy,wopdoo,changes,put,throughif,could,go,back,well,know,id,never,let,go,back,friends,wonderful65,love,affair,wasnt,gettin,nowhere,didnt,care,crazy,65,love,affair,rock,n,roll,simple,clear,oh,still,hear,hear,baby,yeahwell,acted,like,dumdum,bad,pompoms,said,oohwah,go,team,oohwah,go,oohee,baby,want,knowif,could,go,back,time,well,know,somehow,youd,still,mine,wouldnt,blind,wonderful65,love,affair,rock,n,roll,simple,clear,oh,still,hear,hear,babywell,tried,make,give,one,night,drivein,said,ohno,baby,ohno,whoo,changes,put,throughif,could,go,back,time,well,know,somehow,youd,still,mine,wouldnt,blind,wonderful65,love,affair,wasnt,goin,nowhere,didnt,care,crazy,65,love,affair,rock,n,roll,simple,clear,oh,still,hear,hear,babywe,sang,dowopdiddy,wopdiddy,wopdoo,dowopdiddy,wopdiddy,wopdoo,dowopdiddy,wopdiddy,wopdoo,dowopdiddy,wopdiddy,wopdoodowopdiddy,wopdiddy,wopdoo,dowopdiddy,wopdiddy,wopdoo,dowopdiddy,wopdiddy,wopdoo,dowopdiddy,wopdiddy,wopdoo,dowopdiddy,wopdiddy,wopdooif,could,go,back,well,know,love,would,never,end,back,friends,wonderful65,love,affair,rock,n,roll,simple,clear,oh,still,hear,hear,baby,65,love,affair,wasnt,goin,nowhere,didnt,care"
40,heat of the moment,asia,1982,"never,meant,bad,one,thing,said,would,never,look,would,fall,grace,would,wipe,smile,right,facedo,remember,used,dance,incidence,arose,circumstance,one,thing,lead,another,young,would,scream,together,songs,unsungit,heat,moment,telling,heart,meant,heat,moment,shone,eyesand,find,eighty,two,disco,hot,spots,hold,charm,cant,concern,bigger,things,catch,pearl,ride,dragons,wingscause,heat,moment,heat,moment,heat,moment,shone,eyesand,looks,gone,youre,alone,many,nights,sit,beside,phone,things,wanted,teenage,ambition,remember,wellit,heat,moment,telling,heart,meant,heat,moment,shone,eyesit,heat,moment,heat,moment,heat,moment,shone,eyesheat,moment,heat,moment,heat,moment,heat,moment"
41,take it easy on me,little river band,1982,"used,easy,lover,wandered,days,like,end,gone,im,cover,cant,think,friendtake,easy,easy,see,im,getting,lost,crowd,hear,cryin,loudjust,want,know,know,go,whatever,take,easy,meso,ill,go,minstrel,road,without,know,times,need,night,sing,songs,ill,think,back,time,used,caretake,easy,easy,see,im,getting,lost,crowd,hear,cryin,loudjust,want,know,know,go,whatever,dotake,easy,oh,baby,dont,leave,cryin,easy,see,ive,needed,long,one,chance,one,chance,take,chance,come,take,chancetake,easy,easy,see,im,getting,lost,crowd,hear,cryin,loudjust,want,know,know,go,whatever,take,easy,still,whatever,take,easy"
43,that girl,stevie wonder,1982,"girl,thinks,shes,fine,soon,shell,mind,girl,thinks,shes,smart,soon,shell,heart,thinks,time,flat,shell,free,clear,start,emotional,rescued,love,youll,leave,torn,apartthat,girl,thinks,shes,bad,shell,change,tears,joy,sad,says,keeps,upper,hand,cause,please,man,doesnt,use,love,make,weak,uses,love,keep,strong,inside,theres,room,doubt,wont,long,tell,herthat,love,want,mind,soul,body,need,tell,id,love,want,need,win,love,ive,hurting,long,time,youve,playing,long,time,know,true,ive,holding,long,time,youve,running,long,time,time,dothat,girl,girl,yeah,yeah,yeah,yeah,yeahthat,girl,knows,every,single,man,would,ask,hand,says,love,much,deep,understand,says,love,crying,lover,hasnt,heard,doesnt,realize,ive,listened,every,word,thats,know,ill,tell,herthat,love,want,mind,soul,body,needs,tell,id,love,want,need,win,lovetell,love,want,mind,soul,body,needs,tell,id,love,want,need,win,lovetell,love,want,mind,soul,body,needs,tell,id,love,want,need,win,lovethat,love,want,mind,soul,body,needs,tell,id,love,want,need,win,lovethat,girl,girl,girl,oh,girl,girl,girl"
44,private eyes,daryl hall  john oates,1982,"see,see,watch,blowin,lines,youre,making,scene,oh,girl,youve,got,know,head,overlooks,senses,show,heart,watching,lies,cant,escape,private,eyes,theyre,watching,see,every,move,private,eyes,theyre,watching,private,eyes,theyre,watching,watching,watching,watching,play,words,play,love,twist,around,baby,aint,enough,cause,girl,im,gonna,know,youre,letting,letting,go,dont,lie,youre,hurting,inside,cause,cant,escape,private,eyes,theyre,watching,see,every,move,private,eyes,theyre,watching,private,eyes,theyre,watching,watching,watching,watching,try,put,front,im,spy,side,see,slip,disguise,ill,still,know,look,private,eyes,private,eyes,theyre,watching,see,every,move,see,private,eyes,theyre,watching,private,eyes,theyre,watching,private,eyes,theyre,watching,see,every,move,see,private,eyes,theyre,watching,private,eyes,theyre,watching,private,eyes,watching,see,every,move,see,private,eyes,theyre,watching,private,eyes,theyre,watching,private,eyes,watching,watch,every,move,girl,oh,see,oh,see,private,private,private,eyes,girl,watching,watching,see,private,eyes"
45,trouble,lindsey buckingham,1982,"two,ahthree,ahfour,two,ahthree,ahfour,two,ahthree,ahfouri,really,saying,goodnight,really,shouldnt,stay,anymore,long,since,held,ya,ive,forgotten,love,fori,run,double,think,im,trouble,think,im,troubleso,come,darlin,hold,let,honey,keep,warm,long,since,held,ya,ive,forgotten,love"
46,making love,roberta flack,1982,"close,feelings,touch,love,remember,thought,hearts,would,never,mend,better,othertheres,love,know,making,lovehere,confusion,see,lives,live,lives,remember,thought,never,would,survive,neither,one,us,breakingtheres,love,know,making,lovesome,things,never,change,things,sometimes,doand,im,feeling,strong,enough,let,neither,one,us,breaking,know,theres,love,making,love,ill,remember,making,love,ill,remember,youand,ill,remember,ill,remember,ill,remember"
47,loves been a little bit hard on me,juice newton,1982,"ive,got,nothing,ashamed,loves,little,bit,hard,shy,away,loves,little,bit,hard,meloves,little,oh,loves,little,loves,little,bit,hard,loves,little,know,little,loves,little,bit,hard,menow,remember,much,loves,little,bit,hard,shy,away,slightest,touch,loves,little,bit,hard,meloves,little,oh,know,little,loves,little,bit,hard,loves,little,little,little,loves,little,bit,hard,mecome,come,hopeless,romance,inside,shout,right,right,stay,dark,close,lightcome,come,hopeless,romance,inside,shout,right,right,stay,dark,close,lightill,back,calm,fears,loves,little,bit,hard,ill,see,around,thousand,years,loves,little,bit,hard,meloves,little,know,little,loves,little,bit,hard,oh,love,know,little,loves,little,bit,hard"
48,young turks,rod stewart,1982,"billy,left,home,dollar,pocket,head,full,dreams,said,somehow,way,gotta,get,better,patti,packed,bags,left,note,momma,seventeen,tears,eyes,kissed,little,sister,goodbyethey,held,tight,drove,night,excited,got,one,shot,life,lets,take,still,afraid,life,brief,time,thief,youre,undecided,like,fistful,sand,slip,right,handsyoung,hearts,free,tonight,time,side,dont,let,put,dont,let,em,push,around,dont,let,em,ever,change,point,viewparadise,closed,headed,coast,blissful,manner,took,two,room,apartment,jumping,evry,night,week,happiness,found,others,arms,expected,yeah,billy,pierced,ears,drove,pickup,like,lunatic,oohyoung,hearts,free,tonighttime,side,dont,let,put,dont,let,em,push,around,dont,let,em,ever,change,point,viewyoung,hearts,free,tonight,time,sidebilly,wrote,letter,back,home,pattis,parents,tryin,explain,said,real,sorry,turn,way,aint,point,talking,theres,nobody,listning,ran,away,patti,gave,birth,ten,pound,baby,boy,yeahyoung,hearts,free,tonight,time,side,young,hearts,free,tonight,time,side,young,hearts,free,tonight,time,sideyoung,hearts,gotta,run,free,free,live,free,time,time,side,time,time,time,time,side,side,side,side,young,heart,free,tonight,tonight,tonight,tonight,tonight,tonight,yeah"
50,keep the fire burnin,reo speedwagon,1982,"keep,fire,burnin,let,keep,us,warm,world,keep,turnin,let,turn,onand,let,us,stop,learnin,help,one,another,strong,let,us,never,lose,yearnin,keep,fire,burnin,night,longyouve,changing,much,im,sure,touch,whats,real,come,go,never,letting,know,feeland,im,livin,doubt,theres,much,talk,know,work,outwe,keep,fire,burnin,let,keep,us,warm,world,keep,turnin,let,turn,onand,let,us,stop,learnin,help,one,another,strong,let,us,never,lose,yearnin,keep,fire,burnin,night,longweve,enough,gets,rough,theres,nowhere,run,belong,strong,never,give,upif,wanted,could,weve,always,understood,keep,lookin,goodkeep,fire,burnin,let,keep,us,warm,world,keep,turnin,let,turn,onand,let,us,stop,learnin,help,one,another,strong,let,us,never,lose,yearnin,keep,fire,burninkeep,fire,burnin,let,keep,us,warm,world,keep,turnin,let,turn,onand,let,us,stop,learnin,help,one,another,strong,let,us,never,lose,yearnin,keep,fire,burnin,night,longkeep,fire,burnin,keep,fire,burnin,keep,fire,burnin"
51,do you believe in love,huey lewis and the news,1982,"walking,one,way,street,alooking,someone,meet,one,woman,looking,mannow,im,hoping,hoping,feeling,right,im,wondering,wondering,youll,stay,night,im,coming,dont,wanna,lonely,baby,please,tell,wanna,love,overdo,believe,love,believe,true,believe,love,oh,youre,making,believe,toonow,feeling,beginning,grow,meaning,something,know,believe,take,hand,ill,take,heart,come,onnow,wonder,wonder,true,love,begin,im,going,im,lettin,woman,dont,wanna,lonely,baby,please,tell,wanna,love,overdo,believe,love,believe,true,believe,love,oh,youre,making,believe,tooi,used,photograph,im,glad,changed,ive,got,gonna,last,believe,lovedo,believe,love,believe,true,im,glad,im,glad,believe,love,oh,youre,making,believe,toodo,believe,love,believe,true,believe,love,believe,love"
52,cool night,paul davis,1982,"sometimes,wonder,flowers,die,dream,summers,come,gone,nights,seem,longcome,tonight,come,overits,gonna,cool,night,let,hold,firelight,dont,feel,right,gooh,oh,cool,night,brings,back,memories,good,life,love,oldoh,oh,wont,talk,past,loves,supposed,last,forever,dont,take,stand,lay,planscome,tonight,come,overits,gonna,cool,night,let,hold,firelight,dont,feel,right,gooh,oh,cool,night,brings,back,memories,good,life,love,oldcome,tonight,come,overits,gonna,cool,night,let,hold,firelight,dont,feel,right,goon,cool,night,let,hold,cool,night,let,hold,firelight,dont,feel,right,goon,cool,night,let,hold,cool,night,let,hold,firelight,dont,feel,right,goon,cool,night,let,hold,cool,night,let,hold,firelight,dont,feel,right,go"
53,caught up in you,38 special,1982,"never,knew,thered,come,day,id,sayin,dont,let,good,love,slip,away,know,truedont,dont,know,kind,man,said,id,never,fall,love,real,feeling,comes,shinin,throughim,caught,little,girl,never,suspect,thing,caught,little,girl,never,wanna,get,free,baby,true,youre,one,caught,baby,taught,good,could,beit,took,long,change,mind,thought,love,game,played,around,enough,find,two,ever,sameyou,made,realize,love,id,missed,hot,love,couldnt,quite,resist,right,light,comes,shinin,throughim,caught,little,girl,youre,one,whose,got,knees,caught,little,girl,never,wanna,get,free,baby,true,youre,one,caught,baby,taught,good,could,befill,days,nights,need,ever,ask,twice,oh,whenever,want,meand,ever,comes,day,turn,walk,away,oh,cant,live,without,youim,caught,yeah,yeah,yeahand,ever,comes,day,turn,walk,away,oh,cant,live,without,youim,caught,little,girl,youre,one,thats,got,knees,caught,little,girl,never,wanna,get,free,baby,true,youre,one,caught,baby,taught,good,could,belittle,girl,youre,one,thats,got,knees,caught,little,girl,never,wanna,get,free,baby,true,youre,one,whos,caught,taught,got,caught"
54,why do fools fall in love,diana ross,1982,"ooh,wah,ooh,wah,ooh,wah,ooh,wah,ooh,wah,ooh,wah,fools,fall,lovewhy,birds,sing,gay,lovers,await,break,day,fall,love,rain,fall,fools,fall,love,fall,lovelove,losing,game,love,shame,know,fool,see,fool,tell,tell,whywhy,birds,sing,gay,lovers,await,break,day,fall,love,rain,fall,fools,fall,love,fall,lovewhy,heart,skip,crazy,beat,know,reach,defeat,tell,tell,whywhy,fools,fall,love,oh,oh,oh,tell,oh,oh,oh,tell,oh"
55,love in the first degree,alabama,1982,"thought,love,prison,place,didnt,want,long,ago,made,decision,footloose,fancy,free,came,tempted,gamble,love,one,time,never,thought,would,get,caught,seemed,like,perfect,crimebaby,left,defenseless,ive,got,one,plea,lock,away,inside,love,throw,away,key,im,guilty,love,first,degreei,thought,would,simple,like,thousand,times,take,wanted,walk,away,never,made,door,babe,im,beggin,mercy,go,ahead,throw,book,lovin,crime,know,im,guilty,man,bebaby,left,defenseless,ive,got,one,plea,lock,away,inside,love,throw,away,key,im,guilty,love,first,degree,love,first,degree,oh,yeah,oh,yeahbaby,left,defenseless,ive,got,one,plea,lock,away,inside,love,throw,away,key,im,guilty,love,first,degree,love,first,degree,oh,yeahlove,first,degree,love,first,degree,oh,yeah,love,first,degree,love,first,degree,love,first,degree,love,first,degree"
57,wasted on the way,crosby stills  nash,1982,"look,around,see,life,running,rings,around,way,used,older,wanted,wish,started,long,theres,much,time,make,everywhere,turn,time,wasted,way,much,water,moving,underneath,bridge,let,water,come,carry,us,away,oh,young,question,answers,envy,dancers,nerve,look,around,know,must,go,wanted,look,friends,got,deserved,much,time,make,everywhere,turn,time,wasted,way,much,water,moving,underneath,bridge,let,water,come,carry,us,away,much,love,make,everywhere,turn,love,wasted,way,much,water,moving,underneath,bridge,let,water,come,carry,us,away,let,water,come,carry,us,away"
58,think im in love,eddie money,1982,"ooh,somethings,got,hold,feeling,burnin,like,im,fire,hold,tight,babe,dont,leave,tonight,cause,dont,think,make,night,chorus,think,im,love,lifes,lookin,think,im,love,cause,cant,get,enough,think,im,love,gotta,love,surrounds,ooh,like,sea,madness,controls,makes,things,mind,babe,thinkin,dont,know,ill,make,night,chorus,think,im,love,loves,enough,chorus,baby,help,must,something,know,gotta,love"
59,love is in control finger on the trigger,donna summer,1982,"ive,hung,around,big,shots,never,knew,love,sights,guess,missed,target,caught,different,line,firebut,know,since,ive,aiming,sweetness,soul,name,bullet,gettin,ready,explode,theres,change,inside,life,want,let,knowive,got,finger,trigger,love,control,ive,got,finger,trigger,aint,lettin,gomama,used,tell,girl,better,load,gun,right,said,ya,ya,gotta,come,smokin,hit,best,shot,every,time,well,didnt,understand,til,walked,right,range,saw,love,twenty,paces,knew,id,game,better,raise,heart,high,love,blow,right,awayive,got,finger,trigger,love,control,ive,got,finger,trigger,aint,lettin,go,ive,got,finger,trigger,love,control,ive,got,finger,trigger,aint,lettin,goleave,safety,catch,aint,risk,gonna,fun,ive,got,cha,loves,begun,stay,mornin,suntheres,change,inside,life,want,let,knowive,got,finger,trigger,love,control,ive,got,finger,trigger,aint,lettin,go,ive,got,finger,trigger,love,control,ive,got,finger,trigger,aint,lettin,goive,got,finger,trigger,love,control,ive,got,finger,trigger,aint,lettin,go,ive,got,finger,trigger,love,control,ive,got,finger,trigger,aint,lettin,goive,got,finger,trigger,love,control,ive,got,finger,trigger,aint,lettin,go"
60,personally,karla bonoff,1982,"ive,writing,letters,everyday,since,youve,gone,talking,telephone,seems,like,whole,life,longand,ive,got,something,give,mailman,cant,deliver,cant,mail,cant,phone,cant,send,even,closest,kinim,bringing,personally,personally,personally,yeah,im,bringing,personally,personally,personally,yeahtheres,nothing,like,feeling,get,oh,youre,touching,baby,theres,nothing,like,feeling,get,im,oh,lovethat,ive,got,something,mailman,cant,deliver,cant,mail,cant,phone,cant,send,even,closest,friendim,bringing,personally,personally,personally,yeah,im,bringing,personally,personally,personally,yeahooh,ive,got,something,give,mailman,cant,deliver,cant,mail,cant,phone,cant,send,even,closest,friendim,bringing,personally,personally,personally,yeah,im,bringing,personally,personally,personally,yeahim,bringing,personally,personally,personally,yeah,oh,im,bringing,im,bringing,personally"
61,one hundred ways,quincy jones featuring james ingram,1982,"compliment,send,roses,violins,loves,let,playdedicate,favorite,song,hold,closer,night,long,lover,today,find,one,hundred,waysdont,forget,could,old,lover,memory,need,much,dont,saymaybe,mind,shes,wasting,time,ask,stay,find,one,hundred,waysbein,cool,wont,help,keep,love,warm,youll,blow,chance,take,time,open,heart,thats,secret,romancesacrifice,care,buy,moonlight,wear,theres,one,star,wants,go,wayin,arms,tonight,shell,reflect,owes,sweetest,debts,wants,pay,find,one,hundred,waysin,arms,tonight,shell,reflect,owes,sweetest,debts,wants,pay,find,one,hundred,waysya,gotta,believe,whoa,love,today,find,one,hundred,ways,im,telling,love,today,find,one,hundred,waysoh,love,love,love,one,hundred,ways,yeah,yeah,youve,got,love,today,find,one,hundred,ways"
62,blue eyes,elton john,1982,"blue,eyes,babys,got,blue,eyes,like,deep,blue,sea,blue,blue,dayblue,eyes,babys,got,blue,eyes,morning,comes,ill,far,away,sayblue,eyes,holding,back,tears,holding,back,pain,babys,got,blue,eyes,shes,alone,againblue,eyes,babys,got,blue,eyes,like,clear,blue,sky,watching,meblue,eyes,ooh,love,blue,eyes,im,side,long,seeblue,eyes,laughing,sun,laughing,rain,babys,got,blue,eyes,home,home,againblue,eyes,laughing,sun,laughing,rain,babys,got,blue,eyes,home"
63,our lips are sealed,the gogos,1982,"hear,talk,us,telling,lies,well,thats,surprisecan,see,see,right,shield,secrets,revealit,doesnt,matter,say,jealous,games,people,play,lips,sealedtheres,weapon,must,use,defense,silencewhen,look,look,right,thats,theyll,disappear,thats,youll,fearedit,doesnt,matter,say,jealous,games,people,play,lips,sealed,pay,mind,say,doesnt,matter,anyway,lips,sealedhush,darling,dont,cry,quiet,angel,forget,liescan,hear,talk,us,telling,lies,well,thats,surprisecan,see,see,right,shield,secrets,revealit,doesnt,matter,say,jealous,games,people,play,lips,sealed,pay,mind,say,doesnt,matter,anyway,lips,sealed,lips,sealed,lips,sealed"
